"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","459","Удачный логин","Surefire suite","Mon Jun 16 16:30:41 GMT 2025","passed","Mon Jun 16 16:30:42 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверка добавления товара в корзину","796","checkCart1","Surefire suite","Mon Jun 16 16:30:44 GMT 2025","passed","Mon Jun 16 16:30:45 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart1"
"","1762","checkSortAToZ","Surefire suite","Mon Jun 16 16:30:33 GMT 2025","passed","Mon Jun 16 16:30:35 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortAToZ"
"","504","checkWrongSort","Surefire suite","Mon Jun 16 16:30:38 GMT 2025","passed","Mon Jun 16 16:30:38 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkWrongSort"
"","412","checkLoginWithEmptyPassword","Surefire suite","Mon Jun 16 16:30:42 GMT 2025","passed","Mon Jun 16 16:30:43 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","430","checkWithWrongPassword","Surefire suite","Mon Jun 16 16:30:43 GMT 2025","passed","Mon Jun 16 16:30:44 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkWithWrongPassword"
"","440","login","Surefire suite","Mon Jun 16 16:30:40 GMT 2025","passed","Mon Jun 16 16:30:40 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","539","checkSortHighToLow","Surefire suite","Mon Jun 16 16:30:35 GMT 2025","passed","Mon Jun 16 16:30:36 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortHighToLow"
"","547","checkSortLowToHigh","Surefire suite","Mon Jun 16 16:30:36 GMT 2025","passed","Mon Jun 16 16:30:37 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortLowToHigh"
"","533","checkSortZtoA","Surefire suite","Mon Jun 16 16:30:37 GMT 2025","passed","Mon Jun 16 16:30:37 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSortZtoA"
"","508","checkWrongSortAToZ","Surefire suite","Mon Jun 16 16:30:39 GMT 2025","passed","Mon Jun 16 16:30:39 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkWrongSortAToZ"
"","418","login","Surefire suite","Mon Jun 16 16:30:41 GMT 2025","passed","Mon Jun 16 16:30:41 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
